Индекс,Город,Улица,Дом
,Мурманская обл. г.Заозерск,ул.Флотская,д.8
,Мурманская обл. м.о.Печенгский г.Заполярный,пер.Советский,д.3
,Мурманская обл. м.о.Печенгский г.Заполярный,ул.Ленина,д.15
,Мурманская обл. м.р-н Кандалакшский г.п.Зеленоборский пгт.Зеленоборский,ул.Заводская,д.14
,Мурманская обл. пгт.Зеленоборский,ул.Мира ,"д.1А, 1Б"
,Мурманская обл. г.Кандалакша,ул.Первомайская,д.5
,Мурманская обл. г.Кандалакша,ул.Первомайская,д.55
,Мурманская обл. г.Кандалакша,ул.Питео,д.3
,Мурманская обл. г.Кандалакша,ул.Советская,д.7
,Мурманская обл. м.р-н Кандалакшский г.п.Кандалакша г.Кандалакша,ул.Данилова,д.23
,Мурманская обл. м.р-н Кандалакшский г.п.Кандалакша г.Кандалакша,ул.Набережная,д.115А
,Мурманская обл. м.р-н Кандалакшский г.п.Кандалакша г.Кандалакша,ул.Наймушина,д.14
,Мурманская обл. м.р-н Кандалакшский г.п.Кандалакша г.Кандалакша,ш.Кандалакшское,д.41/4
,Мурманская обл. р-н Кандалакшский Мурманская обл. р-н Кандалакшский г.Кандалакша,ул.Чкалова,д.26
,Мурманская обл. м.р-н Кольский г.п.Кильдинстрой пгт.Кильдинстрой,ул.Полярная,д.11
,Мурманская обл. г.Кировск,пр-кт Ленина,д.12А
,Мурманская обл. г.Кировск,пр-кт Ленина,д.32
,Мурманская обл. г.Кировск,ул.Олимпийская,д.17
,Мурманская обл. г.Кировск,ул.Солнечная,д.13
,Мурманская обл. г.о.г.Кировск г.Кировск,ул.Шилейко,д.10
,Мурманская обл. г.о.г.Кировск г.Кировск,ул.Кирова,д.30
,Мурманская обл. г.Ковдор,ул.Комсомольская,д.4А
,Мурманская обл. г.Ковдор,ул.Слюдяная ,д.3
,Мурманская обл. г.Ковдор,ул.Строителей,д.26Б
,Мурманская обл. м.о.Ковдорский г.Ковдор,ул.Кирова,д.10 пом.II
,Мурманская обл. м.о.Ковдорский г.Ковдор,ул.Коновалова,д.13 пом.V
,Мурманская обл. м.о.Ковдорский г.Ковдор,ул.Чехова,д.2
,Мурманская обл. г.Кола,пр-кт Миронова,д.3
